,precision,recall,f1-score,support
broken stitch,1.0,1.0,1.0,18.0
defect free,1.0,1.0,1.0,251.0
hole,1.0,0.9615384615384616,0.9803921568627451,26.0
horizontal,0.875,1.0,0.9333333333333333,21.0
lines,1.0,0.96,0.9795918367346939,25.0
needle mark,1.0,1.0,1.0,17.0
pinched fabric,1.0,1.0,1.0,17.0
stain,1.0,1.0,1.0,61.0
vertical,1.0,0.9333333333333333,0.9655172413793104,15.0
accuracy,0.9933481152993349,0.9933481152993349,0.9933481152993349,0.9933481152993349
macro avg,0.9861111111111112,0.9838746438746439,0.9843149520344535,451.0
weighted avg,0.9941796008869179,0.9933481152993349,0.9934872519234776,451.0
